fecha,url,titulo,texto,categoria
2018-12-14T00:00:00,https://www.eluniverso.com/noticias/2018/12/13/nota/7096431/venezuela-personas-vih-recurren-bebida-hierbas-falta,Venezuela: Personas con VIH recurren a bebida de hierbas por falta de antirretrovirales,"Caracas -Con cuidado, el hombre escoge las hojas verdes del tamaño de la palma de una mano e introduce 50 de ellas en una licuadora a la que agrega 750 centímetros cúbicos de agua. Luego cuela el líquido verde, lo sirve en un vaso de vidrio y lo bebe despacio.Sabe a lechuga con agua""",Salud
2018-12-12T00:00:00,https://www.eluniverso.com/noticias/2018/12/12/nota/7095843/nicolas-maduro-embajadores-si-se-quieren-ir-venezuela-que-se-vayan,"Nicolás Maduro a embajadores: Si se quieren ir de Venezuela que se vayan""""","El presidente de Venezuela, Nicolás Maduro, restó importancia este miércoles a un posible retiro de embajadores cuando asuma para un segundo mandato el 10 de enero, y señaló que quienes critican su investidura se pueden ir cuando gusten.Los gobiernos que hagan lo que quieran. ¡Si se quieren ir de Venezuela con sus embajadores",Represion
2018-12-12T18:10:00,https://www.eluniverso.com/noticias/2018/12/12/nota/7095777/oea-colombia-pide-tomar-conciencia-sobre-migracion-venezolana,"En OEA, Colombia pide tomar conciencia sobre migración venezolana","Washington -Colombia pidió el miércoles a los estados miembros de la Organización de Estados Americanos tomar conciencia de la crisis humanitaria generada por el éxodo masivo de venezolanos, a la que calificó como “dramática y cruda”.“Estamos frente a un hecho que nos afecta a todos los países”, dijo el embajador colombiano Alejandro Ordóñez durante una sesión del Consejo Permanente. “La realidad humanitaria debe permear nuestras discusiones o las decisiones que vayamos a tomar en el seno de nuestra organización”.Ordóñez señaló que su país recibe un promedio diario de 1.539 venezolanos con fines de permanencia y que albergaba hasta octubre pasado a 1,3 millones de personas de esa nación.El diplomático calificó como “alarmante” la situación de 342 mil venezolanos que han recibido atención médica del gobierno colombiano, incluyendo hasta octubre pasado a 1.191 casos de malaria, 387 de desnutrición aguda, 171 de sarampión, 8 de difteria y 132 de tuberculosis.Ordóñez apuntó que las autoridades sanitarias colombianas han aplicado 584 mil dosis de vacunas a venezolanos, y que 30 mil menores de edad asisten a escuelas públicas.Colombia expuso el impacto que le representa la recepción del éxodo masivo dos semanas después de que recibiera a delegaciones de 16 estados miembros de la OEA para valorar de primera mano el impacto del éxodo masivo de venezolanos.Los 16 países que del 18 al 21 de noviembre enviaron delegaciones a las ciudades fronterizas de Maicao y Cúcuta fueron Argentina, Belice, Chile, Costa Rica, Ecuador, Estados Unidos, Guatemala, Guyana, Haití, Honduras, Jamaica, Panamá, Paraguay, Perú, Santa Lucía y Uruguay.Agria respuesta de Venezuela.Venezuela respondió acusando a Colombia de perpetrar una agresión en su contra y de buscar el derrocamiento del presidente Nicolás Maduro mientras adelanta una campaña internacional recaudando fondos para atender a los migrantes.“¿Cómo puede tener credibilidad (Colombia) cuando su respuesta es negarse a hablar con su vecino y su solución es derrocar a un gobierno legítimo?” se preguntó la representante alterna, Asbina Marín.El embajador de Guyana, Riyad Insanally, dijo que su país actualmente acoge en una zona remota de su territorio a tres mil venezolanos, lo que calificó como “un desafío”.La representante paraguaya Elisa Ruiz señaló que el impacto de la crisis migratoria requiere que sea “abordada con un enfoque regional. Hay que seguir debatiendo en la OEA posibles soluciones”.La OEA creó en octubre un grupo de trabajo para abordar la crisis migratoria venezolana, coordinado por el exalcalde opositor David Smolansky y la directora del Departamento de Inclusión Social de la OEA, Betilde Muñoz, ambos venezolanos.El grupo de trabajo prevé emitir durante el primer trimestre de 2019 un informe sobre las causas del éxodo, las condiciones en que se encuentran los desplazados y recomendaciones de política migratoria y de seguridad para que los países receptores puedan facilitar el asentamiento de los desplazados.La ONU estima que al menos 2,3 millones de venezolanos han abandonado su país desde el 2015. (I)",Politica
2018-12-12T14:19:00,https://www.eluniverso.com/noticias/2018/12/12/nota/7095252/peinados-publicidad-otros-cambios-que-hace-concurso-miss-venezuela,Peinados por publicidad y otros cambios que hace el concurso Miss Venezuela ante la crisis,"Peinados a cambio de publicidad, un nuevo código de ética. El Miss Venezuela, que celebrará el jueves su 65 edición, busca reinventarse para sortear los estragos de la crisis económica, sepultar los escándalos de supuesto proxenetismo y abrirse a la participación de transexuales.La opulencia es cosa del pasado en este concurso del que han salido siete Miss Universo y seis Miss Mundo. De hacerse en el poliedro de Caracas, con un aforo de 20.000 personas, pasó a un estudio de la televisora dueña de los derechos -Venevisión- con capacidad para unas 200.La organización ha tenido que ingeniárselas para no dejar morir el certamen, canjeando peinados y maquillaje por publicidad del canal, y compartiendo el costo del vestuario con los diseñadores.Así como no tenemos para realizar un Miss Venezuela opulento",Economia
2018-12-04T15:47:00,https://www.eluniverso.com/noticias/2018/12/04/nota/7082724/onu-quiere-conseguir-738-millones-ayudar-paises-vecinos-crisis,ONU quiere conseguir $ 738 millones para ayudar a países vecinos por crisis en Venezuela,"Ginebra -Naciones Unidas dijo el martes que busca obtener 738 millones de dólares en 2019 para ayudar a los países vecinos de Venezuela a lidiar con el flujo de millones de refugiados y migrantes procedentes de esa nación y que están ""sin perspectivas de retorno en el corto a mediano plazo"".Fue la primera vez que la crisis se incluyó en el llamamiento humanitario global de la ONU, que asciende a 21.900 millones de dólares para el año entrante, sin incluir a Siria.Tres millones de venezolanos han huido de la crisis política y económica que sufre la nación OPEP, la mayoría desde 2015, según la agencia de refugiados de la ONU, ACNUR.""Hay una crisis para la cual por primera vez tenemos un plan de respuesta, que es ayudar a los países vecinos de Venezuela a lidiar con las consecuencias de los grandes números de venezolanos que están dejando el país"", dijo Mark Lowcock, titular de la Oficina de las Naciones Unidas para la Coordinación de Asuntos Humanitarios (OCHA).El anuncio se realizó durante una conferencia de prensa en Ginebra en la que la ONU lanzó la solicitud de fondos para lidiar con 21 crisis humanitarias a nivel global.",Economia
2018-12-03T16:09:00,https://www.eluniverso.com/noticias/2018/12/03/nota/7081506/presidente-turquia-ofrece-ayudar-nicolas-maduro,El presidente de Turquía ofrece ayuda a Nicolás Maduro,"Caracas -El presidente turco Recep Tayyip Erdogan aseguró este lunes en Caracas que su país podría cubrir parte de las necesidades financieras de Venezuela, que pasa por una compleja crisis, además de sanciones económicas de Washington.Erdogan, quien realiza su primera visita oficial a la nación sudamericana, no especificó cómo o con qué modalidad podría ayudar a Venezuela, aunque el gobierno del presidente Nicolás Maduro lo invitó a impulsar nuevas inversiones turcas en áreas como la explotación de oro y el turismo.La principal relación económica actual de Venezuela con Turquía es la comercialización de oro.""Nosotros vamos a cubrir la mayoría de las necesidades de Venezuela. Tenemos esta fuerza, tenemos esta oportunidad"", afirmó Erdogan, a través de un intérprete, durante un encuentro con empresarios en la capital venezolana donde estuvo presente el mandatario Nicolás Maduro.El gobernante turco también condenó las sanciones económicas que enfrenta Maduro desde el 2017.",Politica
2018-11-23T16:09:00,https://www.eluniverso.com/noticias/2018/11/23/nota/7065348/ecuador-busca-donaciones-550-millones-dolares-atender-venezolanos,Ecuador busca donaciones de unos 550 millones para atender a venezolanos,"Quito -Ecuador necesita unos 550 millones de dólares para poder atender a los miles de ciudadanos venezolanos que ingresan a su territorio huyendo de la crisis económica y política de su país, recursos que espera financiar principalmente a través de una ""mesa de donantes"", dijo el viernes un funcionario.Delegados de una docena de países latinoamericanos, además de Ecuador, están reunidos por segunda ocasión en Quito para acordar acciones conjuntas y coordinadas que permitan atender a los inmigrantes venezolanos, que llegan masivamente a sus territorios.Ecuador votó en la ONU a favor de que Venezuela acepte ayuda humanitaria ""Hemos llegado a cuantificar las necesidades de Ecuador a mediano y largo plazo en alrededor de 550 millones de dólares"", dijo el viceministro de Movilidad Humana, Santiago Chávez, a periodistas.En lo que va del 2018 han ingreso unos 600.000 ciudadanos venezolanos a Ecuador por su frontera con Colombia, de los cuales una gran mayoría decidieron avanzar hacia Perú.""Esta cifra tiene que ver básicamente con necesidades de salud, educación, vivienda e inserción laboral"", agregó al explicar que el objetivo del país es garantizar los derechos humanos de los venezolanos y ayudarles a una inserción ordenada.",Salud
2018-11-23T00:00:00,https://www.eluniverso.com/noticias/2018/11/23/nota/7064043/alejandro-andrade-guardaespaldas-hugo-chavez-extesorero-venezuela,"Alejandro Andrade, el guardaespaldas de Hugo Chávez y extesorero de Venezuela que confesó el cobro de US$1.000 millones en sobornos","Alejandro Andrade pasó de ser guardaespaldas de Hugo Chávez a poseer decenas de casas, autos, caballos y relojes de lujo.El que fuera tesorero nacional de Venezuela se enfrenta ahora en Estados Unidos a una sentencia que podría condenarlo a hasta 10 años de cárcel.El Departamento de Justicia de Estados Unidos hizo público esta semana que, en diciembre de 2017, Andrade se declaró culpable de un cargo de conspiración para lavado de dinero y de haber recibido sobornos por valor de US$1.000 millones.Quién es Raúl Gorrín, el magnate de Venezuela acusado en EE.UU. de lavar millones de dólares junto a un exguardaespaldas de Hugo Chávez.Sus detractores en Venezuela ya lo acusaron de delitos parecidos a los que ahora admitió en Estados Unidos, pero en su país natal no enfrentó cargos formales.Tras declararse culpable, Andrade aceptó la confiscación de bienes raíces en Palm Beach (Florida), de 15 vehículos -entre los cuales 3 carros de golf-, de 17 caballos, de 35 relojes de lujo y de 9 cuentas bancarias en Estados Unidos y en Suiza.",Represion
2018-11-30T00:00:00,https://www.eluniverso.com/noticias/2018/11/30/nota/7075746/nicolas-maduro-eleva-sueldo-minimo-venezuela-otra-vez,Nicolás Maduro eleva el sueldo mínimo en Venezuela otra vez,"El presidente de Venezuela, Nicolás Maduro, anunció la noche del jueves que elevará el salario mínimo a 4.500 bolívares soberanos (450 millones de bolívares fuertes) -alrededor de $ 8,30-, en medio de una reunión con el gabinete económico. Esta cifra representa un aumento del 150% respecto al sueldo anterior, según explica el diario venezolano El Nacional. La decisión es tomada tres meses después de la activación del llamado ""programa de recuperación económica, crecimiento y prosperidad"" del Gobierno, acusado de mantener una dictadura por la oposición.",Economia
2018-11-24T00:00:00,https://www.eluniverso.com/noticias/2018/11/24/nota/7066536/jair-bolsonaro-no-devolveremos-migrantes-venezolanos-que-vienen,Jair Bolsonaro: No 'devolveremos' a migrantes venezolanos que vienen huyendo de una dictadura,"Río de Janeiro - El presidente electo de Brasil, Jair Bolsonaro, descartó este sábado que su administración vaya a devolver a los inmigrantes venezolanos que han llegado a los estados fronterizos huyendo de la grave crisis en su país, como había sugerido el futuro gobernador de Roraima (norte).""[Los inmigrantes venezolanos] no son una mercancía ni un producto para que sea devuelto. Si hubiera un gobierno democrático [en Venezuela], hace tiempo que hubiéramos tomado otras providencias como, por ejemplo, su exclusión del Mercosur por la cláusula democrática"", afirmó Bolsonaro tras asistir al 73º aniversario de la Brigada de Infantería Paracaidista en Rio de Janeiro.""Venezuela no puede ser tratado como un país democrático"", añadió.El ultraderechista, militar paracaidista de formación, respondía así a las declaraciones del gobernador electo de Roraima, Antonio Denarium, quien había sugerido la creación de un ""programa de devolución"" de venezolanos para acabar con la crisis migratoria que afecta a este estado fronterizo, uno de los más pobres de Brasil.Aunque Denarium es del mismo Partido Social Liberal (PSL) del presidente electo, Bolsonaro evocó otras soluciones.",Politica
